year,round,type,institute,program,quota,category,gender,orank,crank
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",5802,7857
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",1709,2560
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","NA",24,24
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",1030,1197
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",448,472
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",5624,8237
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",2566,2659
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL (PwD)","NA",40,40
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",1148,1148
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",521,521
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",7727,8567
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",2680,2875
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",1375,1403
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",7826,8874
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",2637,2768
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",1396,1490
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",550,550
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",1764,2695
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",578,1040
